time_trt,surv_trt,time_ctr,surv_ctr
0.010318982,0.99167231,0.020616201,0.998676677
0.039062754,0.980131932,0.046857728,0.986508121
0.055111286,0.969406607,0.060495587,0.965437091
0.07308759,0.955931681,0.073616467,0.948797533
0.072172607,0.971415157,0.091406001,0.93530286
0.10449342,0.945001216,0.096459403,0.923272159
0.133942211,0.934826325,0.114772803,0.911958875
0.149707208,0.922545073,0.146184104,0.903431602
0.162654811,0.911030384,0.167515092,0.890538843
0.17065707,0.898171098,0.172028206,0.875662011
0.172737566,0.884654908,0.18744626,0.86513881
0.197456734,0.874906156,0.195667333,0.849313622
0.208489021,0.861568951,0.204752331,0.834932361
0.236748908,0.852437014,0.214269286,0.821760233
0.254716533,0.837094398,0.220541913,0.810698947
0.264389349,0.826877755,0.231268075,0.801152332
0.290254627,0.827774375,0.250862055,0.79045114
0.29370314,0.813356959,0.273243687,0.777413409
0.314760346,0.803771943,0.290367661,0.763819556
0.34128028,0.789219075,0.309760139,0.752491711
0.334888841,0.803549809,0.329786393,0.740519706
0.373123903,0.781415993,0.34329314,0.726878917
0.391567716,0.772887145,0.36324004,0.715703022
0.420439977,0.761791647,0.371209294,0.700090077
0.411000532,0.775537587,0.379061253,0.689562437
0.442772934,0.748520386,0.396350474,0.679214479
0.468814719,0.735392397,0.401908066,0.665332256
0.48753316,0.721937546,0.428608452,0.653632463
0.517728669,0.71204728,0.446278161,0.638509072
0.548202472,0.699720116,0.468646083,0.626796738
0.576585848,0.688083993,0.487883639,0.615524818
0.606548959,0.67824557,0.51812362,0.610180291
0.637971801,0.672816435,0.536859695,0.604058858
0.662817214,0.664071764,0.567980982,0.601684452
0.691859561,0.65417793,0.593866609,0.593742436
0.707988433,0.640656101,0.623341405,0.590035472
0.726128285,0.627259923,0.636091252,0.581392329
0.755023387,0.622757698,0.664832034,0.579692227
0.758433608,0.611882083,0.67461381,0.567220362
0.77624342,0.601475642,0.697492449,0.556848399
0.803336548,0.597578966,0.71420989,0.543800952
0.813420946,0.588598077,0.752468136,0.540366468
0.844985783,0.585266769,0.779821877,0.538025947
0.857934796,0.574026179,0.789345821,0.527514193
0.874547411,0.563176434,0.806956092,0.513473556
0.904245711,0.556241971,0.84104334,0.506775072
0.941978801,0.551105237,0.872326824,0.502872619
0.966689469,0.539862179,0.88997937,0.49704911
0.983312631,0.529812846,0.922531262,0.494446579
1.016348312,0.528160427,0.95085269,0.485843869
1.048156363,0.524183635,0.983334891,0.480435976
1.06573646,0.51419254,0.996555946,0.472500828
1.100929196,0.513754865,1.027967001,0.469228286
1.139687599,0.512376719,1.0490243,0.459661451
1.170909693,0.50706364,1.076823589,0.453064109
1.196192551,0.502791696,1.116437745,0.449216862
1.23018001,0.503548544,1.14721391,0.445161089
1.264499689,0.499833048,1.162624981,0.43328045
1.278282208,0.487487322,1.181459825,0.424038869
1.294806115,0.477099646,1.205780719,0.407719914
1.325482386,0.467947839,1.204894995,0.422107162
1.348042583,0.454752889,1.228307872,0.391825734
1.379869092,0.445924762,1.258743041,0.384376676
1.416909603,0.441705749,1.286304932,0.381457729
1.448673148,0.439818857,1.312010195,0.373996716
1.450162949,0.426131047,1.343238463,0.36988368
1.477078204,0.418829494,1.354422774,0.362637443
1.504880315,0.409531532,1.390425809,0.359967664
1.539220931,0.402617253,1.422747007,0.35769018
1.577773669,0.400399335,1.456731022,0.348925374
1.600539579,0.390229015,1.471902873,0.336578161
1.631212276,0.384354028,1.507104985,0.333179844
1.644863297,0.376299247,1.537612266,0.327360048
1.677833596,0.373004545,1.575858583,0.325590435
1.706152114,0.363836235,1.605220546,0.316194097
1.737716117,0.357588826,1.628804515,0.305844896
1.744769849,0.351639933,1.663489999,0.305955517
1.783768765,0.349468068,1.69996013,0.305948316
1.814899501,0.342350247,1.735117489,0.301388294
1.852654906,0.341550952,1.764136732,0.294164096
1.892218065,0.338584345,1.796764097,0.290120684
1.92246756,0.335089328,1.829141836,0.282309013
1.964859801,0.332329717,1.865592034,0.278427456
1.995456136,0.328843033,1.905155357,0.275492664
2.001737809,0.319540246,1.934629989,0.271753885
2.034166701,0.314134123,1.944429689,0.264718716
2.073887363,0.309041834,1.981570507,0.266187597
2.106375821,0.30484998,2.018040638,0.266180396
2.112674683,0.294006187,2.054510769,0.266173194
2.12173866,0.283594533,2.090975008,0.265020653
2.15737927,0.283460235,2.112145064,0.255505912
2.192327324,0.277599375,2.147275739,0.252919839
2.231686759,0.273010244,2.18374587,0.252912637
2.259050824,0.261424184,2.223124313,0.24958113
2.250165191,0.274279195,2.256203182,0.25108841
2.274523333,0.249918786,2.261964126,0.237782624
2.30972312,0.250851601,2.28976644,0.238438606
2.346167455,0.245830362,2.296360071,0.231186791
2.381100712,0.23709343,2.33595123,0.233662792
2.418325252,0.229396898,2.369307078,0.232483549
2.450171621,0.22608453,2.369263193,0.223953284
2.485317136,0.226383013,2.403436316,0.223619042
2.521787267,0.226375812,2.425162895,0.214457908
2.558257398,0.22636861,2.454674089,0.205813138
2.594727529,0.226361408,2.491835458,0.204493013
2.63119766,0.226354206,2.528305589,0.204485811
2.668365527,0.223874387,2.56477572,0.204478609
2.693435422,0.217470078,2.601245851,0.204471407
2.730609276,0.216153778,2.64062414,0.201109957
2.767505581,0.213058317,2.671307808,0.197367374
2.792790287,0.206861311,2.710616961,0.196814212
2.830020892,0.20595335,2.748471061,0.197297597
2.866491023,0.205946148,2.776690163,0.200476693
2.902961154,0.205938946,2.799914571,0.1898397
2.939431285,0.205931745,2.836562784,0.188644704
2.975901416,0.205924543,2.875590806,0.184592958
3.012371546,0.205917341,2.907166224,0.180564438
3.048002772,0.203958985,2.930638402,0.172370787
3.058726177,0.193876336,2.965776934,0.171311833
3.076678202,0.184888568,3.005337801,0.167899816
3.11172031,0.183499969,3.032418857,0.164341795
3.148189965,0.183400215,3.040489995,0.153385239
3.180607278,0.175743602,3.078653478,0.151006263
3.217752384,0.171262074,3.101571511,0.144160465
3.254222515,0.171254873,3.138034534,0.142771585
3.290692646,0.171247671,3.174504664,0.142764383
3.327162777,0.171240469,3.210974795,0.142757181
3.363632907,0.171233267,3.247444926,0.14274998
3.400103038,0.171226065,3.283912676,0.142280015
3.436573169,0.171218863,3.305084633,0.133134712
3.4730433,0.171211661,3.330547436,0.116852912
3.509511288,0.170787973,3.328605764,0.129498917
3.532180965,0.158158867,3.366662919,0.115747325
3.529400992,0.170182453,3.40313305,0.115740124
3.569113261,0.155921495,3.439603181,0.115732922
3.605583392,0.155914293,3.476073312,0.11572572
3.642053523,0.155907091,3.512543442,0.115718518
3.678523654,0.155899889,3.549013573,0.115711316
3.714992832,0.155707582,3.585483704,0.115704114
3.74333263,0.140446216,3.621953835,0.115696913
3.741512279,0.154869371,3.658423966,0.115689711
,,3.694894097,0.115682509
,,3.731364228,0.115675307
,,3.767834359,0.115668105
,,3.804304489,0.115660903
,,3.84077462,0.115653702
,,3.877244751,0.1156465
,,3.913714882,0.115639298
,,3.950184775,0.11558582
,,3.982526423,0.106267208
,,3.979883666,0.08830776
,,3.975048392,0.115118146
