time,endpoint,trt,ctr
0,os,205,221
1,os,191,195
2,os,122,129
3,os,62,72
4,os,17,18
0,pfs,205,221
1,pfs,105,102
2,pfs,45,43
3,pfs,18,19
4,pfs,6,1
