time,endpoint,camr_chemo,placebo_chemo
0,os,298,298
2,os,294,289
4,os,285,275
6,os,260,249
8,os,218,203
10,os,180,161
12,os,128,110
14,os,89,72
16,os,51,41
18,os,33,24
0,pfs,298,298
2,pfs,263,243
4,pfs,236,196
6,pfs,142,93
8,pfs,100,45
10,pfs,61,22
12,pfs,42,8
14,pfs,24,5
16,pfs,19,3
18,pfs,9,0
